2024-12-14 11:12: Experiment log path in: ./
2024-12-14 11:12: Train Epoch 1: 0/164 Loss: 60.774536
2024-12-14 11:12: Train Epoch 1: 20/164 Loss: 40.090206
2024-12-14 11:12: Train Epoch 1: 40/164 Loss: 35.515049
2024-12-14 11:12: Train Epoch 1: 60/164 Loss: 41.505356
2024-12-14 11:12: Train Epoch 1: 80/164 Loss: 31.870880
2024-12-14 11:12: Train Epoch 1: 100/164 Loss: 30.733000
2024-12-14 11:12: Train Epoch 1: 120/164 Loss: 34.093082
2024-12-14 11:12: Train Epoch 1: 140/164 Loss: 32.598927
2024-12-14 11:13: Train Epoch 1: 160/164 Loss: 33.830566
2024-12-14 11:13: **********Train Epoch 1: averaged Loss: 37.064554
2024-12-14 11:13: **********Val Epoch 1: average Loss: 36.048442
2024-12-14 11:13: Train Epoch 2: 0/164 Loss: 41.765659
2024-12-14 11:13: Train Epoch 2: 20/164 Loss: 40.148979
2024-12-14 11:13: Train Epoch 2: 40/164 Loss: 28.991261
2024-12-14 11:13: Train Epoch 2: 60/164 Loss: 37.921516
2024-12-14 11:13: Train Epoch 2: 80/164 Loss: 28.552471
2024-12-14 11:13: Train Epoch 2: 100/164 Loss: 34.098267
2024-12-14 11:13: Train Epoch 2: 120/164 Loss: 25.768166
2024-12-14 11:13: Train Epoch 2: 140/164 Loss: 29.440468
2024-12-14 11:13: Train Epoch 2: 160/164 Loss: 26.943310
2024-12-14 11:13: **********Train Epoch 2: averaged Loss: 30.232324
2024-12-14 11:13: **********Val Epoch 2: average Loss: 29.700895
2024-12-14 11:13: Train Epoch 3: 0/164 Loss: 28.120388
2024-12-14 11:13: Train Epoch 3: 20/164 Loss: 30.710514
2024-12-14 11:13: Train Epoch 3: 40/164 Loss: 33.463577
2024-12-14 11:13: Train Epoch 3: 60/164 Loss: 28.203112
2024-12-14 11:13: Train Epoch 3: 80/164 Loss: 34.257298
2024-12-14 11:13: Train Epoch 3: 100/164 Loss: 23.749628
2024-12-14 11:13: Train Epoch 3: 120/164 Loss: 23.727114
2024-12-14 11:13: Train Epoch 3: 140/164 Loss: 27.299015
2024-12-14 11:13: Train Epoch 3: 160/164 Loss: 24.957270
2024-12-14 11:13: **********Train Epoch 3: averaged Loss: 29.064094
2024-12-14 11:13: **********Val Epoch 3: average Loss: 29.726123
2024-12-14 11:13: Train Epoch 4: 0/164 Loss: 27.407495
2024-12-14 11:14: Train Epoch 4: 20/164 Loss: 27.661283
2024-12-14 11:14: Train Epoch 4: 40/164 Loss: 25.655031
2024-12-14 11:14: Train Epoch 4: 60/164 Loss: 23.816603
2024-12-14 11:14: Train Epoch 4: 80/164 Loss: 27.299601
2024-12-14 11:14: Train Epoch 4: 100/164 Loss: 28.255220
2024-12-14 11:14: Train Epoch 4: 120/164 Loss: 26.546974
2024-12-14 11:14: Train Epoch 4: 140/164 Loss: 31.111906
2024-12-14 11:14: Train Epoch 4: 160/164 Loss: 25.135256
2024-12-14 11:14: **********Train Epoch 4: averaged Loss: 28.200768
2024-12-14 11:14: **********Val Epoch 4: average Loss: 28.092457
2024-12-14 11:14: Train Epoch 5: 0/164 Loss: 26.848419
2024-12-14 11:14: Train Epoch 5: 20/164 Loss: 23.841700
2024-12-14 11:14: Train Epoch 5: 40/164 Loss: 27.676800
2024-12-14 11:14: Train Epoch 5: 60/164 Loss: 25.105806
2024-12-14 11:14: Train Epoch 5: 80/164 Loss: 25.882734
2024-12-14 11:14: Train Epoch 5: 100/164 Loss: 27.179962
2024-12-14 11:14: Train Epoch 5: 120/164 Loss: 27.406986
2024-12-14 11:14: Train Epoch 5: 140/164 Loss: 26.511459
2024-12-14 11:14: Train Epoch 5: 160/164 Loss: 29.069155
2024-12-14 11:14: **********Train Epoch 5: averaged Loss: 27.364709
2024-12-14 11:14: **********Val Epoch 5: average Loss: 26.944851
2024-12-14 11:14: Train Epoch 6: 0/164 Loss: 35.234039
2024-12-14 11:14: Train Epoch 6: 20/164 Loss: 22.312263
2024-12-14 11:14: Train Epoch 6: 40/164 Loss: 26.403467
2024-12-14 11:15: Train Epoch 6: 60/164 Loss: 29.699053
2024-12-14 11:15: Train Epoch 6: 80/164 Loss: 21.516956
2024-12-14 11:15: Train Epoch 6: 100/164 Loss: 33.775040
2024-12-14 11:15: Train Epoch 6: 120/164 Loss: 23.287445
2024-12-14 11:15: Train Epoch 6: 140/164 Loss: 24.350084
2024-12-14 11:15: Train Epoch 6: 160/164 Loss: 24.819555
2024-12-14 11:15: **********Train Epoch 6: averaged Loss: 27.005745
2024-12-14 11:15: **********Val Epoch 6: average Loss: 26.231826
2024-12-14 11:15: Train Epoch 7: 0/164 Loss: 30.933943
2024-12-14 11:15: Train Epoch 7: 20/164 Loss: 22.260752
2024-12-14 11:15: Train Epoch 7: 40/164 Loss: 23.166836
2024-12-14 11:15: Train Epoch 7: 60/164 Loss: 31.432451
2024-12-14 11:15: Train Epoch 7: 80/164 Loss: 26.024477
2024-12-14 11:15: Train Epoch 7: 100/164 Loss: 27.586445
2024-12-14 11:15: Train Epoch 7: 120/164 Loss: 26.883316
2024-12-14 11:15: Train Epoch 7: 140/164 Loss: 25.125959
2024-12-14 11:15: Train Epoch 7: 160/164 Loss: 24.651594
2024-12-14 11:15: **********Train Epoch 7: averaged Loss: 25.631420
2024-12-14 11:15: **********Val Epoch 7: average Loss: 25.514241
2024-12-14 11:15: Train Epoch 8: 0/164 Loss: 23.015825
2024-12-14 11:15: Train Epoch 8: 20/164 Loss: 30.321007
2024-12-14 11:15: Train Epoch 8: 40/164 Loss: 23.611650
2024-12-14 11:15: Train Epoch 8: 60/164 Loss: 30.227997
2024-12-14 11:15: Train Epoch 8: 80/164 Loss: 24.607340
2024-12-14 11:16: Train Epoch 8: 100/164 Loss: 29.736088
2024-12-14 11:16: Train Epoch 8: 120/164 Loss: 24.195667
2024-12-14 11:16: Train Epoch 8: 140/164 Loss: 24.099030
2024-12-14 11:16: Train Epoch 8: 160/164 Loss: 24.381502
2024-12-14 11:16: **********Train Epoch 8: averaged Loss: 24.763708
2024-12-14 11:16: **********Val Epoch 8: average Loss: 24.430480
2024-12-14 11:16: Train Epoch 9: 0/164 Loss: 25.491278
2024-12-14 11:16: Train Epoch 9: 20/164 Loss: 24.507902
2024-12-14 11:16: Train Epoch 9: 40/164 Loss: 22.993193
2024-12-14 11:16: Train Epoch 9: 60/164 Loss: 26.759060
2024-12-14 11:16: Train Epoch 9: 80/164 Loss: 19.690573
2024-12-14 11:16: Train Epoch 9: 100/164 Loss: 23.000072
2024-12-14 11:16: Train Epoch 9: 120/164 Loss: 22.142397
2024-12-14 11:16: Train Epoch 9: 140/164 Loss: 21.230295
2024-12-14 11:16: Train Epoch 9: 160/164 Loss: 24.830055
2024-12-14 11:16: **********Train Epoch 9: averaged Loss: 24.291236
2024-12-14 11:16: **********Val Epoch 9: average Loss: 24.281381
2024-12-14 11:16: Train Epoch 10: 0/164 Loss: 21.126247
2024-12-14 11:16: Train Epoch 10: 20/164 Loss: 24.275351
2024-12-14 11:16: Train Epoch 10: 40/164 Loss: 23.958229
2024-12-14 11:16: Train Epoch 10: 60/164 Loss: 20.092039
2024-12-14 11:16: Train Epoch 10: 80/164 Loss: 24.568354
2024-12-14 11:16: Train Epoch 10: 100/164 Loss: 20.739975
2024-12-14 11:16: Train Epoch 10: 120/164 Loss: 24.837788
2024-12-14 11:17: Train Epoch 10: 140/164 Loss: 21.900537
2024-12-14 11:17: Train Epoch 10: 160/164 Loss: 21.839329
2024-12-14 11:17: **********Train Epoch 10: averaged Loss: 24.218715
2024-12-14 11:17: **********Val Epoch 10: average Loss: 24.541004
2024-12-14 11:17: Train Epoch 11: 0/164 Loss: 20.547056
2024-12-14 11:17: Train Epoch 11: 20/164 Loss: 20.687643
2024-12-14 11:17: Train Epoch 11: 40/164 Loss: 22.942783
2024-12-14 11:17: Train Epoch 11: 60/164 Loss: 21.368776
2024-12-14 11:17: Train Epoch 11: 80/164 Loss: 30.941397
2024-12-14 11:17: Train Epoch 11: 100/164 Loss: 23.091360
2024-12-14 11:17: Train Epoch 11: 120/164 Loss: 21.740040
2024-12-14 11:17: Train Epoch 11: 140/164 Loss: 22.620201
2024-12-14 11:17: Train Epoch 11: 160/164 Loss: 20.480793
2024-12-14 11:17: **********Train Epoch 11: averaged Loss: 23.836815
2024-12-14 11:17: **********Val Epoch 11: average Loss: 23.637756
2024-12-14 11:17: Train Epoch 12: 0/164 Loss: 21.534367
2024-12-14 11:17: Train Epoch 12: 20/164 Loss: 22.073526
2024-12-14 11:17: Train Epoch 12: 40/164 Loss: 32.572594
2024-12-14 11:17: Train Epoch 12: 60/164 Loss: 25.320822
2024-12-14 11:17: Train Epoch 12: 80/164 Loss: 27.829147
2024-12-14 11:17: Train Epoch 12: 100/164 Loss: 19.057007
2024-12-14 11:17: Train Epoch 12: 120/164 Loss: 23.327858
2024-12-14 11:17: Train Epoch 12: 140/164 Loss: 22.591923
